,car_year,brand,model,sub_model,sub_model_name,car_type,transmission,model_year_start,model_year_end,color,mile,date,webid,cost
508,2019,Mazda,BT-50 PRO,2.2,FREE STYLE CAB Hi-Racer,Pickup,MT,,,brown,112500,2023-10-25,mazda-bt-50-pro-hi-racer-กรุงเทพและปริมณฑล-พหลโยธิน-บางซื่อ-จตุจักร/12406530,335900
509,2019,Mazda,2,1.3,High Connect,Sedan,AT,15.0,25.0,gray,96758,2023-10-25,mazda-2-high-connect-กรุงเทพและปริมณฑล-รัชดาฯ-ห้วยขวาง-ลาดพร้าว-เพชรบุรีตัดใหม่/12398066?carsome=true,418900
510,2019,Mazda,3,2.0,C Sports,Hatchback,AT,14.0,18.0,black,52500,2023-10-25,mazda-3-c-sports-กรุงเทพและปริมณฑล-กาญจนาภิเษก/11096276?auc=true,499000
511,2022,Mazda,CX-30,2.0,Carbon Edition,SUV,AT,20.0,25.0,white,22500,2023-10-25,mazda-cx-30-carbon-edition-กรุงเทพและปริมณฑล-กาญจนาภิเษก/11454044,898000
512,2019,Mazda,CX-3,2.0,SP,SUV,AT,15.0,22.0,white,42500,2023-10-25,mazda-cx-3-sp-กรุงเทพและปริมณฑล-กาญจนาภิเษก/11024490,658000
513,2022,Mazda,CX-3,2.0,Comfort,SUV,AT,15.0,22.0,white,27500,2023-10-25,mazda-cx-3-comfort-กรุงเทพและปริมณฑล-อำเภอลำลูกกา/12290421?auc=true,699000
514,2015,Mazda,BT-50 PRO,2.2,DOUBLE CAB Hi-Racer Eclipse,Pickup,MT,,,white,72500,2023-10-25,mazda-bt-50-pro-hi-racer-eclipse-กรุงเทพและปริมณฑล-อำเภอลำลูกกา/12024056?auc=true,399000
515,2020,Mazda,3,2.0,C,Sedan,AT,19.0,24.0,gray,27500,2023-10-25,mazda-3-c-กรุงเทพและปริมณฑล-ศรีนครินทร์-เทพารักษ์/12070193?auc=true,679000
516,2022,Mazda,CX-30,2.0,SP,SUV,AT,20.0,25.0,white,2500,2023-10-25,mazda-cx-30-sp-กรุงเทพและปริมณฑล-บางนา-กิ่งแก้ว-ลาดกระบัง/12719506?auc=true,899000
517,2018,Mazda,CX-5,2.0,S,SUV,AT,17.0,23.0,gray,117500,2023-10-25,mazda-cx-5-s-กรุงเทพและปริมณฑล-ศรีนครินทร์-เทพารักษ์/11763235?auc=true,669000
518,2020,Mazda,3,2.0,S,Sedan,AT,19.0,24.0,black,57500,2023-10-25,mazda-3-s-กรุงเทพและปริมณฑล-ศรีนครินทร์-เทพารักษ์/12551753?auc=true,669000
519,2022,Mazda,2,1.3,S Leather,Sedan,AT,15.0,25.0,black,37500,2023-10-25,mazda-2-s-leather-กรุงเทพและปริมณฑล-ศรีนครินทร์-เทพารักษ์/12460888?auc=true,459000
520,2022,Mazda,2,1.3,S Leather,Sedan,AT,15.0,25.0,gray,17500,2023-10-25,mazda-2-s-leather-กรุงเทพและปริมณฑล-ศรีนครินทร์-เทพารักษ์/12643263?auc=true,459000
521,2020,Mazda,2,1.3,S Sports,Hatchback,AT,15.0,25.0,red,7500,2023-10-25,mazda-2-s-sports-กรุงเทพและปริมณฑล-ศรีนครินทร์-เทพารักษ์/12643635?auc=true,469000
