car_year,brand,model,sub_model,sub_model_name,car_type,transmission,model_year_start,model_year_end,color,mile,date,webid,cost
2019,Mazda,2,1.3,High Connect,Sedan,AT,15.0,25.0,red,73842,2023-10-25,mazda-2-high-connect-กรุงเทพและปริมณฑล-รัชดาฯ-ห้วยขวาง-ลาดพร้าว-เพชรบุรีตัดใหม่/12759609?carsome=true,418900
2017,Mazda,2,1.3,Sports High Connect,Hatchback,AT,15.0,25.0,white,177500,2023-10-25,mazda-2-sports-high-connect-กรุงเทพและปริมณฑล-ศรีนครินทร์-เทพารักษ์/12730419,376900
2019,Mazda,2,1.3,High Connect,Sedan,AT,15.0,25.0,red,72500,2023-10-25,mazda-2-high-connect-กรุงเทพและปริมณฑล-รังสิต-บางปะอิน/12849237,418900
2017,Mazda,3,2.0,S Sports,Hatchback,AT,14.0,18.0,brown,102500,2023-10-25,mazda-3-s-sports-กรุงเทพและปริมณฑล-รังสิต-บางปะอิน/12854043,528900
2017,Mazda,3,2.0,S,Sedan,AT,14.0,18.0,blue,82500,2023-10-25,mazda-3-s-กรุงเทพและปริมณฑล-รังสิต-บางปะอิน/12854089,453900
2014,Mazda,3,2.0,S Sports,Hatchback,AT,14.0,18.0,red,62500,2023-10-25,mazda-3-s-sports-ภาคใต้-อำเภอเมืองสุราษฎร์ธานี/12526233,429000
2014,Mazda,3,2.0,S,Sedan,AT,14.0,18.0,gray,241543,2023-10-25,mazda-3-s-ภาคใต้-อำเภอเมืองสุราษฎร์ธานี/11601394,389000
2017,Mazda,2,1.5,XD Sports High Connect,Hatchback,AT,15.0,25.0,brown,72500,2023-10-25,mazda-2-xd-sports-high-connect-ภาคกลาง-อำเภอเมืองพิษณุโลก/12819172,399999
2017,Mazda,2,1.5,XD High Plus L,Sedan,AT,15.0,25.0,black,77500,2023-10-25,mazda-2-xd-high-plus-l-กรุงเทพและปริมณฑล-กาญจนาภิเษก/12456699,456900
2021,Mazda,2,1.3,C Sports,Hatchback,AT,15.0,25.0,black,12500,2023-10-25,mazda-2-c-sports-กรุงเทพและปริมณฑล-กาญจนาภิเษก/12506369,460900
2015,Mazda,3,2.0,S,Sedan,AT,14.0,18.0,gray,152500,2023-10-25,mazda-3-s-กรุงเทพและปริมณฑล-พหลโยธิน-บางซื่อ-จตุจักร/12856537,433900
2016,Mazda,2,1.5,XD Sport High Plus L,Hatchback,AT,15.0,25.0,blue,102500,2023-10-25,mazda-2-xd-sport-high-plus-l-กรุงเทพและปริมณฑล-รัชดาฯ-ห้วยขวาง-ลาดพร้าว-เพชรบุรีตัดใหม่/12330648?carsome=true,384900
2021,Mazda,CX-30,2.0,SP,SUV,AT,20.0,25.0,white,37500,2023-10-25,mazda-cx-30-sp-กรุงเทพและปริมณฑล-เลียบด่วนรามอินทรา-เกษตรนวมินทร์/12839291,789000
2016,Mazda,CX-3,2.0,SP,SUV,AT,15.0,22.0,gray,92500,2023-10-25,mazda-cx-3-sp-กรุงเทพและปริมณฑล-เลียบด่วนรามอินทรา-เกษตรนวมินทร์/12723978,419000
2018,Mazda,3,2.0,E,Sedan,AT,14.0,18.0,gray,142500,2023-10-25,mazda-3-e-กรุงเทพและปริมณฑล-กาญจนาภิเษก/12670399,371900
2010,Mazda,3,2.0,Maxx Sports,Hatchback,AT,5.0,10.0,white,152500,2023-10-25,mazda-3-maxx-sports-กรุงเทพและปริมณฑล-กาญจนาภิเษก/12765684?auc=true,169000
2019,Mazda,3,2.0,SP,Sedan,AT,19.0,24.0,black,63437,2023-10-25,mazda-3-sp-กรุงเทพและปริมณฑล-รัชดาฯ-ห้วยขวาง-ลาดพร้าว-เพชรบุรีตัดใหม่/12306869?carsome=true,753900
2015,Mazda,3,2.0,S,Sedan,AT,14.0,18.0,gray,152732,2023-10-25,mazda-3-s-กรุงเทพและปริมณฑล-รัชดาฯ-ห้วยขวาง-ลาดพร้าว-เพชรบุรีตัดใหม่/12856546?carsome=true,433900
2016,Mazda,3,2.0,C Sports,Hatchback,AT,14.0,18.0,gray,142500,2023-10-25,mazda-3-c-sports-กรุงเทพและปริมณฑล-สุขุมวิท/12539216,428000
2013,Mazda,BT-50 PRO,2.2,DOUBLE CAB V,Pickup,MT,,,gray,172500,2023-10-25,mazda-bt-50-pro-v-ภาคตะวันออก-อำเภอบ้านค่าย/12809787,225000
2006,Mazda,RX-8,1.3,Roadster,Coupe,AT,3.0,8.0,black,117500,2023-10-25,mazda-rx-8-roadster-กรุงเทพและปริมณฑล-นนทบุรี-รัตนาธิเบศร์/12388517,550000
2017,Mazda,BT-50 PRO,2.2,FREE STYLE CAB Hi-Racer,Pickup,MT,,,brown,57500,2023-10-25,mazda-bt-50-pro-hi-racer-กรุงเทพและปริมณฑล-อ่อนนุช/12356387,350000
2017,Mazda,CX-5,2.2,XDL 4WD,SUV,AT,17.0,23.0,black,122500,2023-10-25,mazda-cx-5-xdl-ภาคตะวันตก-อำเภอเมืองราชบุรี/12405917,750000
2014,Mazda,3,2.0,C,Sedan,AT,14.0,18.0,brown,2500,2023-10-25,mazda-3-c-กรุงเทพและปริมณฑล-พัฒนาการ-พระราม9ตัดใหม่/9347264?auc=true,329000
2012,Mazda,3,1.6,Spirit Sports,Hatchback,AT,11.0,14.0,red,2500,2023-10-25,mazda-3-spirit-sports-กรุงเทพและปริมณฑล-พัฒนาการ-พระราม9ตัดใหม่/9827342?auc=true,229000
2019,Mazda,2,1.3,High Connect,Sedan,AT,15.0,25.0,red,52500,2023-10-25,mazda-2-high-connect-กรุงเทพและปริมณฑล-อำเภอบางพลี/12687481,375000
2014,Mazda,CX-5,2.0,C,SUV,AT,13.0,16.0,white,12500,2023-10-25,mazda-cx-5-c-กรุงเทพและปริมณฑล-อำเภอปากเกร็ด/12578009,379000
2017,Mazda,BT-50 PRO,2.2,DOUBLE CAB Hi-Racer,Pickup,MT,,,black,2500,2023-10-25,mazda-bt-50-pro-hi-racer-กรุงเทพและปริมณฑล-พัฒนาการ-พระราม9ตัดใหม่/12680857?auc=true,299000
2013,Mazda,2,1.5,Sports Spirit,Hatchback,AT,9.0,14.0,white,67500,2023-10-25,mazda-2-sports-spirit-กรุงเทพและปริมณฑล-กาญจนาภิเษก/12859050,178000
2006,Mazda,3,2.0,R Sport,Hatchback,AT,5.0,10.0,blue,2500,2023-10-25,mazda-3-r-sport-กรุงเทพและปริมณฑล-พัฒนาการ-พระราม9ตัดใหม่/10171360?auc=true,139000
2010,Mazda,3,1.6,Spirit,Sedan,AT,5.0,10.0,silver,2500,2023-10-25,mazda-3-spirit-กรุงเทพและปริมณฑล-พัฒนาการ-พระราม9ตัดใหม่/11725331?auc=true,149000
2017,Mazda,3,2.0,SP Sports,Hatchback,AT,14.0,18.0,brown,137500,2023-10-25,mazda-3-sp-sports-กรุงเทพและปริมณฑล-สุขุมวิท/12751835,545000
2019,Mazda,2,1.3,Sports Standard,Hatchback,AT,15.0,22.0,gray,2500,2023-10-25,mazda-2-sports-standard-กรุงเทพและปริมณฑล-พัฒนาการ-พระราม9ตัดใหม่/12035859?auc=true,319000
2016,Mazda,2,1.5,XD High Connect,Sedan,AT,15.0,25.0,white,2500,2023-10-25,mazda-2-xd-high-connect-กรุงเทพและปริมณฑล-พัฒนาการ-พระราม9ตัดใหม่/12761216?auc=true,319000
2019,Mazda,2,1.3,Standard,Sedan,AT,15.0,22.0,black,2500,2023-10-25,mazda-2-standard-กรุงเทพและปริมณฑล-พัฒนาการ-พระราม9ตัดใหม่/10171598?auc=true,319900
2011,Mazda,2,1.5,Sports Groove,Hatchback,AT,9.0,14.0,white,162500,2023-10-25,mazda-2-sports-groove-ภาคใต้-อำเภอเมืองปัตตานี/12603193,155000
1992,Mazda,RX-7,1.3,,Coupe,MT,92.0,0.0,white,2500,2023-10-25,mazda-rx-7-กรุงเทพและปริมณฑล-รามอินทรา-สุขาภิบาล5/12650906,2790000
2021,Mazda,CX-3,2.0,Base Plus,SUV,AT,15.0,22.0,red,22500,2023-10-25,mazda-cx-3-base-plus-กรุงเทพและปริมณฑล-บางนา-กิ่งแก้ว-ลาดกระบัง/12589931,595000
2011,Mazda,2,1.5,Elegance Spirit,Sedan,AT,9.0,14.0,white,2500,2023-10-25,mazda-2-elegance-spirit-กรุงเทพและปริมณฑล-พัฒนาการ-พระราม9ตัดใหม่/11225895?auc=true,159000
2015,Mazda,2,1.5,XD Sports High Plus,Hatchback,AT,15.0,25.0,red,127500,2023-10-25,mazda-2-xd-sports-high-plus-กรุงเทพและปริมณฑล-รังสิต-บางปะอิน/12697494,388900
2018,Mazda,CX-5,2.0,SP,SUV,AT,17.0,23.0,white,57500,2023-10-25,mazda-cx-5-sp-กรุงเทพและปริมณฑล-พหลโยธิน-บางซื่อ-จตุจักร/12484602,719000
2015,Mazda,3,2.0,S,Sedan,AT,14.0,18.0,brown,102500,2023-10-25,mazda-3-s-กรุงเทพและปริมณฑล-พัฒนาการ-พระราม9ตัดใหม่/12671651?auc=true,359000
2017,Mazda,2,1.5,XD High Connect,Sedan,AT,15.0,25.0,brown,82500,2023-10-25,mazda-2-xd-high-connect-กรุงเทพและปริมณฑล-บางใหญ่-บางบัวทอง/12709724,417900
2019,Mazda,2,1.3,High,Sedan,AT,15.0,22.0,black,72500,2023-10-25,mazda-2-high-กรุงเทพและปริมณฑล-กาญจนาภิเษก/11072619,329000
2012,Mazda,2,1.5,Elegance Spirit,Sedan,AT,9.0,14.0,blue,27500,2023-10-25,mazda-2-elegance-spirit-ภาคอีสาน-อำเภอเมืองอุบลราชธานี/12646344,150000
2014,Mazda,3,2.0,S,Sedan,AT,14.0,18.0,gray,102500,2023-10-25,mazda-3-s-กรุงเทพและปริมณฑล-รัชดาฯ-ห้วยขวาง-ลาดพร้าว-เพชรบุรีตัดใหม่/12413356,419000
2012,Mazda,3,1.6,Spirit Sports,Hatchback,AT,11.0,14.0,white,16004,2023-10-25,mazda-3-spirit-sports-ภาคเหนือ-อำเภอดอยสะเก็ด/12558120,259000
2017,Mazda,CX-5,2.0,S,SUV,AT,17.0,23.0,black,177500,2023-10-25,mazda-cx-5-s-กรุงเทพและปริมณฑล-อำเภอลำลูกกา/12443651,500000
2013,Mazda,3,2.0,Maxx Sports,Hatchback,AT,11.0,14.0,black,131087,2023-10-25,mazda-3-maxx-sports-ภาคเหนือ-อำเภอดอยสะเก็ด/12308048,269000
2015,Mazda,2,1.5,XD Sports High Plus,Hatchback,AT,15.0,25.0,red,137500,2023-10-25,mazda-2-xd-sports-high-plus-กรุงเทพและปริมณฑล-รังสิต-บางปะอิน/12697501,388900
