id,name,cost,mile,status,color,gear,web,webid,date
573,2019 Mazda 2 1.3 (ปี 15-25) Sports High Connect Hatchback,"329,000",15 - 20K km,รถมือสอง,สีดำ,เกียร์อัตโนมัติ,one2car,"mazda-2-sports-high-connect-กรุงเทพและปริมณฑล-บางใหญ่-บางบัวทอง/12753068?auc=true
",2023-10-25
574,2015 Mazda 3 2.0 (ปี 14-17) Racing Series Limited Edition Hatchback,"455,000",30 - 35K km,รถมือสอง,สีแดง,เกียร์อัตโนมัติ,one2car,"mazda-3-racing-series-limited-edition-กรุงเทพและปริมณฑล-อำเภอลำลูกกา/12841934
",2023-10-25
575,2017 Mazda 2 1.3 (ปี 15-25) High Connect Sedan,"345,000",93390 km,รถมือสอง,สีขาว,เกียร์อัตโนมัติ,one2car,"mazda-2-high-connect-กรุงเทพและปริมณฑล-กาญจนาภิเษก/12780343?auc=true
",2023-10-25
576,2017 Mazda CX-3 2.0 (ปี 15-22) E SUV,"404,000",25 - 30K km,รถมือสอง,สีเทา,เกียร์อัตโนมัติ,one2car,"mazda-cx-3-e-กรุงเทพและปริมณฑล-ท่าพระ-วงเวียนใหญ่-พระราม2/11552437?auc=true
",2023-10-25
577,2017 Mazda 3 2.0 (ปี 14-18) E Sports Hatchback,"419,000",0 - 5K km,รถมือสอง,สีแดง,เกียร์อัตโนมัติ,one2car,"mazda-3-e-sports-กรุงเทพและปริมณฑล-บางนา-กิ่งแก้ว-ลาดกระบัง/11668919?auc=true
",2023-10-25
578,2017 Mazda 2 1.3 (ปี 15-25) Sports High Plus Hatchback,"397,900",100 - 105K km,รถมือสอง,สีเทา,เกียร์อัตโนมัติ,one2car,"mazda-2-sports-high-plus-กรุงเทพและปริมณฑล-พหลโยธิน-บางซื่อ-จตุจักร/12799307
",2023-10-25
579,2019 Mazda 2 1.3 (ปี 15-22) S Sports Hatchback,"437,000",47315 km,รถมือสอง,สีดำ,เกียร์อัตโนมัติ,one2car,"mazda-2-s-sports-กรุงเทพและปริมณฑล-กาญจนาภิเษก/11837526?auc=true
",2023-10-25
580,2012 Mazda BT-50 PRO 3.2 DOUBLE CAB R 4WD Pickup,"344,000",220 - 225K km,รถมือสอง,สีฟ้า,เกียร์อัตโนมัติ,one2car,"mazda-bt-50-pro-r-กรุงเทพและปริมณฑล-อำเภอกระทุ่มแบน/12343152?auc=true
",2023-10-25
581,2012 Mazda BT-50 PRO 2.2 FREE STYLE CAB Hi-Racer Pickup,"244,000",160 - 165K km,รถมือสอง,สีเทา,เกียร์ธรรมดา,one2car,"mazda-bt-50-pro-hi-racer-กรุงเทพและปริมณฑล-อำเภอกระทุ่มแบน/12231026?auc=true
",2023-10-25
582,2017 Mazda CX-3 2.0 (ปี 15-22) S SUV,"444,000",120 - 125K km,รถมือสอง,สีน้ำตาล,เกียร์อัตโนมัติ,one2car,"mazda-cx-3-s-กรุงเทพและปริมณฑล-อำเภอกระทุ่มแบน/12291787?auc=true
",2023-10-25
